Airport_ID,Identifier,Type,Name,Latitude,Longitude,Elevation_Ft,Continent,ISO_Country_Code,ISO_Region,Municipality,Is_Scheduled_Service,GPS_Code,IATA_Code,Local_Code,Home_Link,Wikipedia_Link,Keywords
1720,CYEM,medium_airport,Manitoulin East Municipal Airport,45.84280014,-81.85810089,869,NA,CA,CA-ON,Manitowaning,FALSE,CYEM,YEM,NA,NA,https://en.wikipedia.org/wiki/Manitowaning/Manitoulin_East_Municipal_Airport,NA
1721,CYEN,medium_airport,Estevan Airport,49.21030045,-102.9660034,1905,NA,CA,CA-SK,Estevan,FALSE,CYEN,YEN,NA,NA,https://en.wikipedia.org/wiki/Estevan_Regional_Aerodrome,YEN
1722,CYER,medium_airport,Fort Severn Airport,56.01890182,-87.67610168,48,NA,CA,CA-ON,Fort Severn,TRUE,CYER,YER,NA,NA,https://en.wikipedia.org/wiki/Fort_Severn_Airport,NA
1723,CYES,small_airport,Edmundston Airport,47.49060059,-68.48190308,490,NA,CA,CA-NB,Edmundston,FALSE,CYES,NA,NA,NA,https://en.wikipedia.org/wiki/Edmundston_Airport,YES
1724,CYET,medium_airport,Edson Airport,53.57889938,-116.4649963,3043,NA,CA,CA-AB,Edson,FALSE,CYET,YET,NA,NA,https://en.wikipedia.org/wiki/Edson_Airport,NA
1725,CYEU,small_airport,Eureka Airport,79.99469757,-85.81420136,256,NA,CA,CA-NU,Eureka,FALSE,CYEU,YEU,NA,NA,https://en.wikipedia.org/wiki/Eureka_Aerodrome,YEU
1726,CYEV,medium_airport,Inuvik Mike Zubko Airport,68.30419922,-133.4830017,224,NA,CA,CA-NT,Inuvik,TRUE,CYEV,YEV,NA,NA,https://en.wikipedia.org/wiki/Inuvik_(Mike_Zubko)_Airport,NA
1727,CYEY,medium_airport,Amos/Magny Airport,48.563903,-78.249702,1068,NA,CA,CA-QC,Amos,FALSE,CYEY,YEY,NA,NA,https://en.wikipedia.org/wiki/Amos/Magny_Airport,NA
1728,CYFA,medium_airport,Fort Albany Airport,52.20140076,-81.69689941,48,NA,CA,CA-ON,Fort Albany,TRUE,CYFA,YFA,NA,NA,https://en.wikipedia.org/wiki/Fort_Albany_Airport,NA
1729,CYFB,medium_airport,Iqaluit Airport,63.756402,-68.555801,110,NA,CA,CA-NU,Iqaluit,TRUE,CYFB,YFB,NA,NA,https://en.wikipedia.org/wiki/Iqaluit_Airport,Frobisher Bay Air Base
1730,CYFC,medium_airport,Fredericton Airport,45.8689003,-66.53720093,68,NA,CA,CA-NB,Fredericton,TRUE,CYFC,YFC,NA,NA,https://en.wikipedia.org/wiki/Greater_Fredericton_Airport,NA
1731,CYFD,small_airport,Brantford Municipal Airport,43.13140106,-80.34249878,815,NA,CA,CA-ON,Brantford,FALSE,CYFD,NA,NA,http://www.brantfordairport.ca,https://en.wikipedia.org/wiki/Brantford_Airport,YFD
1732,CYFE,medium_airport,Forestville Airport,48.74610138,-69.09719849,293,NA,CA,CA-QC,Forestville,FALSE,CYFE,YFE,NA,NA,https://en.wikipedia.org/wiki/Forestville_Airport,NA
1733,CYFH,medium_airport,Fort Hope Airport,51.56190109,-87.90779877,899,NA,CA,CA-ON,Fort Hope,TRUE,CYFH,YFH,NA,NA,https://en.wikipedia.org/wiki/Fort_Hope_Airport,NA
