start_date_yyyymmdd,start_station_name,start_station_id,end_date_yyyymmdd,end_station_name,end_station_id,duration
2015-07-12,2nd at Townsend,61,2015-07-12,2nd at Folsom,62,288
2015-07-12,Harry Bridges Plaza (Ferry Building),50,2015-07-12,Embarcadero at Bryant,54,1434
2015-07-12,Steuart at Market,74,2015-07-12,Spear at Folsom,49,276
2015-07-12,Embarcadero at Vallejo,48,2015-07-12,Market at 4th,76,1033
2015-07-12,Market at Sansome,77,2015-07-12,Market at 10th,67,15322
2015-07-12,Embarcadero at Sansome,60,2015-07-12,Mechanics Plaza (Market at Battery),75,988
2015-07-12,Harry Bridges Plaza (Ferry Building),50,2015-07-12,Grant Avenue at Columbus Avenue,73,469
2015-07-12,Embarcadero at Sansome,60,2015-07-12,Mechanics Plaza (Market at Battery),75,1041
2015-07-12,Townsend at 7th,65,2015-07-12,San Francisco Caltrain 2 (330 Townsend),69,263
2015-07-12,Embarcadero at Vallejo,48,2015-07-12,Townsend at 7th,65,986
2015-07-12,Embarcadero at Vallejo,48,2015-07-12,Townsend at 7th,65,1015
2015-07-12,San Francisco City Hall,58,2015-07-12,South Van Ness at Market,66,310
2015-07-12,5th at Howard,57,2015-07-12,Market at 10th,67,591
2015-07-12,Embarcadero at Sansome,60,2015-07-12,Harry Bridges Plaza (Ferry Building),50,672
2015-07-12,Embarcadero at Sansome,60,2015-07-12,Harry Bridges Plaza (Ferry Building),50,682
2015-07-12,2nd at Townsend,61,2015-07-12,Harry Bridges Plaza (Ferry Building),50,1959
2015-07-12,Embarcadero at Sansome,60,2015-07-12,Embarcadero at Sansome,60,826
2015-07-12,Embarcadero at Sansome,60,2015-07-12,Clay at Battery,41,510
2015-07-12,Embarcadero at Sansome,60,2015-07-12,Clay at Battery,41,548
2015-07-12,Japantown,9,2015-07-12,SJSU 4th at San Carlos,12,1154
2015-07-12,Harry Bridges Plaza (Ferry Building),50,2015-07-12,Powell Street BART,39,883
2015-07-12,Harry Bridges Plaza (Ferry Building),50,2015-07-12,Broadway St at Battery St,82,4431
2015-07-12,Powell at Post (Union Square),71,2015-07-12,Embarcadero at Vallejo,48,976
2015-07-12,Embarcadero at Vallejo,48,2015-07-12,Embarcadero at Bryant,54,909
2015-07-12,Harry Bridges Plaza (Ferry Building),50,2015-07-12,Broadway St at Battery St,82,4599
2015-07-12,Harry Bridges Plaza (Ferry Building),50,2015-07-12,Harry Bridges Plaza (Ferry Building),50,333
2015-07-12,San Francisco Caltrain 2 (330 Townsend),69,2015-07-12,2nd at South Park,64,86
2015-07-12,Embarcadero at Vallejo,48,2015-07-12,Embarcadero at Sansome,60,2135
2015-07-12,Embarcadero at Sansome,60,2015-07-12,Clay at Battery,41,424
2015-07-12,Civic Center BART (7th at Market),72,2015-07-12,Market at 4th,76,188
2015-07-12,Post at Kearny,47,2015-07-12,Mechanics Plaza (Market at Battery),75,12004
2015-07-12,Harry Bridges Plaza (Ferry Building),50,2015-07-12,2nd at Townsend,61,1362
2015-07-12,Post at Kearny,47,2015-07-12,Mechanics Plaza (Market at Battery),75,12067
2015-07-12,Embarcadero at Vallejo,48,2015-07-12,Embarcadero at Sansome,60,2237
2015-07-12,San Jose Civic Center,3,2015-07-12,San Jose Civic Center,3,6526
2015-07-12,San Jose Civic Center,3,2015-07-12,San Jose Civic Center,3,6550
2015-07-12,Commercial at Montgomery,45,2015-07-12,San Francisco City Hall,58,882
2015-07-12,Civic Center BART (7th at Market),72,2015-07-12,Mechanics Plaza (Market at Battery),75,8916
2015-07-12,Golden Gate at Polk,59,2015-07-12,San Francisco City Hall,58,1161
2015-07-12,Market at 4th,76,2015-07-12,2nd at Townsend,61,2570
2015-07-12,Market at 4th,76,2015-07-12,2nd at Townsend,61,2596
2015-07-12,San Francisco Caltrain 2 (330 Townsend),69,2015-07-12,Post at Kearny,47,1671
2015-07-12,Market at 4th,76,2015-07-12,2nd at Townsend,61,2637
2015-07-12,Market at 4th,76,2015-07-12,2nd at Townsend,61,2599
2015-07-12,Market at Sansome,77,2015-07-12,Embarcadero at Bryant,54,793
2015-07-12,Embarcadero at Sansome,60,2015-07-12,Embarcadero at Vallejo,48,676
2015-07-12,San Jose Civic Center,3,2015-07-12,San Jose Civic Center,3,248
2015-07-12,San Jose City Hall,10,2015-07-12,SJSU - San Salvador at 9th,16,371
2015-07-12,Civic Center BART (7th at Market),72,2015-07-12,Grant Avenue at Columbus Avenue,73,731
2015-07-12,2nd at South Park,64,2015-07-12,San Francisco Caltrain 2 (330 Townsend),69,1470
2015-07-12,2nd at Townsend,61,2015-07-12,Embarcadero at Sansome,60,1299
2015-07-12,San Francisco Caltrain 2 (330 Townsend),69,2015-07-12,2nd at Townsend,61,212
2015-07-12,Harry Bridges Plaza (Ferry Building),50,2015-07-12,Embarcadero at Vallejo,48,587
2015-07-12,Harry Bridges Plaza (Ferry Building),50,2015-07-12,Embarcadero at Vallejo,48,593
2015-07-12,San Francisco City Hall,58,2015-07-12,Market at 10th,67,13210
2015-07-12,San Francisco City Hall,58,2015-07-12,San Francisco City Hall,58,12758
2015-07-12,Castro Street and El Camino Real,32,2015-07-12,Mountain View Caltrain Station,28,5123
2015-07-12,Embarcadero at Sansome,60,2015-07-12,Civic Center BART (7th at Market),72,22299
2015-07-12,Broadway St at Battery St,82,2015-07-12,Market at 4th,76,980
2015-07-12,Broadway St at Battery St,82,2015-07-12,Market at 4th,76,1054
2015-07-12,Harry Bridges Plaza (Ferry Building),50,2015-07-12,Embarcadero at Sansome,60,363
2015-07-12,Post at Kearny,47,2015-07-12,Embarcadero at Sansome,60,12973
2015-07-12,Embarcadero at Sansome,60,2015-07-12,Civic Center BART (7th at Market),72,22654
2015-07-12,Townsend at 7th,65,2015-07-12,San Francisco Caltrain 2 (330 Townsend),69,158
2015-07-12,Market at 4th,76,2015-07-12,Harry Bridges Plaza (Ferry Building),50,4861
2015-07-12,Market at 4th,76,2015-07-12,Harry Bridges Plaza (Ferry Building),50,4896
2015-07-12,Post at Kearny,47,2015-07-12,Post at Kearny,47,13616
2015-07-12,Embarcadero at Sansome,60,2015-07-12,Civic Center BART (7th at Market),72,22736
2015-07-12,Japantown,9,2015-07-12,Ryland Park,84,300
2015-07-12,5th at Howard,57,2015-07-12,Grant Avenue at Columbus Avenue,73,639
2015-07-12,SJSU 4th at San Carlos,12,2015-07-12,MLK Library,11,547
2015-07-12,2nd at Townsend,61,2015-07-12,Steuart at Market,74,17725
2015-07-12,2nd at Townsend,61,2015-07-12,Harry Bridges Plaza (Ferry Building),50,18012
2015-07-12,Redwood City Caltrain Station,22,2015-07-12,Redwood City Caltrain Station,22,31381
2015-07-12,Townsend at 7th,65,2015-07-12,Harry Bridges Plaza (Ferry Building),50,761
2015-07-12,Townsend at 7th,65,2015-07-12,Harry Bridges Plaza (Ferry Building),50,771
2015-07-12,San Francisco Caltrain 2 (330 Townsend),69,2015-07-12,2nd at Townsend,61,202
2015-07-12,Harry Bridges Plaza (Ferry Building),50,2015-07-12,Washington at Kearny,46,29240
2015-07-12,Market at 10th,67,2015-07-12,San Francisco City Hall,58,1346
